"FeatureID"	"ASV"
"8e583e8344d3272536c27ecd8dec29df"	"ASV1"
"6a1e65685d9ce4a6043443245646b8fe"	"ASV2"
"28128b6bdab1cd9c0f9d0ccb746ce3aa"	"ASV3"
"ebfc3b2c88eb3347300fb96fd47e2fc8"	"ASV4"
"9658835d49e53c16c8b81163037eff32"	"ASV5"
"69accb1b58d9bba527c47f8c5dc9309d"	"ASV6"
"7daf4ed90593c54c8bcbd67c07243704"	"ASV7"
"d4f2ba1d17369ffa1f0ce16346a9d594"	"ASV8"
"478469234b6b5cc69a12c413004bc68b"	"ASV9"
"a71ca490d79dd7175bca662f4d739395"	"ASV10"
"0ebe4a631d4e5bff3147deaa830067e3"	"ASV11"
"5c83ee3652c1e6813640abce8ad6e4a8"	"ASV12"
"443b3f950e88a85af9c2e5548913b9b6"	"ASV13"
"d7cee531fda9bd5b02568b55acd64a18"	"ASV14"
"e7d54fbfbe4d59de7681a361eb8c13dd"	"ASV15"
"fd74f1bd648fcb4eca1ae1fcef23f1f5"	"ASV16"
"a9f586e55654ae8486107020569f6211"	"ASV17"
"cb54566611194e5660e81e737d664f43"	"ASV18"
"673a7c7cc666ae11ecb7a1e7d6bebf48"	"ASV19"
"bc87ac103d14960a90bf79802bc7f919"	"ASV20"
"016be3f633c83f3b24870bdc2c83938f"	"ASV21"
"ebe2e9b07d24b1567d25356027459552"	"ASV22"
"bcaaef4135b9876c5a33d313090f7b26"	"ASV23"
"36cc0fa1b13fde3c7f40c8ecf39400dc"	"ASV24"
"8c8fc183f341317522d6087e2961eb55"	"ASV25"
"22af8a1d4cf471d598ee242decab7140"	"ASV26"
"91bc1dd8b741967b427fcc0f788432d5"	"ASV27"
"2b690773bb3c9f6bfa0152ed61cb9f35"	"ASV28"
"0cb056a60d31df38894835c930c17ab2"	"ASV29"
"91a33e93ae0479581ff9b630511bae45"	"ASV30"
"39464c6d7ac72f8fceb0eb75e8631880"	"ASV31"
"8a2f604e72c60c4dce3e610a815b6a82"	"ASV32"
"478a7918579f6de8415aea20cbb2b78c"	"ASV33"
"f26141a889302245c2a256480a7d218e"	"ASV34"
"f327f34eade54d0e7feed49ec9d8df2d"	"ASV35"
"eec450fe66bedd88b014b0721a59f4eb"	"ASV36"
"1715be410f5056f695761b9a54f6ab68"	"ASV37"
"feb3475f5f853f345b53c4b7c8b37738"	"ASV38"
"e008b824edc4478d6fd30fba91ea991b"	"ASV39"
"33dc1cfcb3d21722366153ef5a363e9d"	"ASV40"
"a2b120d53b0d94435a7a43ccb432c441"	"ASV41"
"f49131d117f26631b876eeec38dee83a"	"ASV42"
"3f155571370df8476ec7f0dd19afd29b"	"ASV43"
"f4a40e379d1b87569edea8061c638e3f"	"ASV44"
"614144c28e4715a93ab6d6f22725a40a"	"ASV45"
"510a59772cca446fa99fcb62ea586e32"	"ASV46"
"8b37ef0e0962ab39302dfe2d1585ea4a"	"ASV47"
"0d946067ed7c815d1b3549b0a6b8138d"	"ASV48"
"a5c9dca2b2185780dbaf7415074fff23"	"ASV49"
"cbf90158f95185b3aa33d040a9870777"	"ASV50"
"a0356fcbb327579af26d70841433148a"	"ASV51"
"95f93dc5f6a075944e9ad956a5947797"	"ASV52"
"187b8069f1128c2cdf44cebaaa0f409e"	"ASV53"
"958d952f0ed2e0e542a1a49933f85eea"	"ASV54"
"7940dee368d2c12ebbd3f098beb5f772"	"ASV55"
"86ce00bd2bc07399f8b90e0b07151170"	"ASV56"
"29f290026441fa6a14249fcfcf809f6f"	"ASV57"
"19ddad2c942748e2a81a1dccd5311455"	"ASV58"
"6a87d00332a3ba2c6551472a02b800f8"	"ASV59"
"d5f64750008791cd4c2c08002d0d238e"	"ASV60"
"91b243c359eee608481f46e637a683ac"	"ASV61"
"eeea0adf640d1437791044b7ac32633b"	"ASV62"
"26db83f16a409a54e996bdd6763cb511"	"ASV63"
"b888414cbf797d640c62d0eb92559a6f"	"ASV64"
"1842456eda7b448d82467a3f0b1c5a7f"	"ASV65"
"312f9eb2e09384910e938345319ca782"	"ASV66"
"b759e47f1b0f742e305b5489ef8a8f14"	"ASV67"
"8fc5c515af8e5f1c3a557d57eb87a822"	"ASV68"
"a9eb528ee2726acf940d48d74ea02b09"	"ASV69"
"2a226f144d6b29eaf8c7767061dc9fab"	"ASV70"
"6b0d6f54de32fa8c5b85af1c11133759"	"ASV71"
"7ea31a29680fd05ded95a6d0e68313b9"	"ASV72"
"c35732b3a04ab0fe9f50641842fa6fa8"	"ASV73"
"b9f47f2da6c510242e3c8ea666b14d25"	"ASV74"
"aaa2f67e699d91b39901df0b87f98046"	"ASV75"
"4eec46c99468b3c755f51f24ef3b485f"	"ASV76"
"ada9ce3d3cf792847cda794ca84b1e3d"	"ASV77"
"48a96ed358628f092c91f561ef43f432"	"ASV78"
"a876cdf6be38035e485104afc09e05dc"	"ASV79"
"4540413af610c42400ee48f8b846404c"	"ASV80"
"73b56c1b9c50db5f138205da4475d144"	"ASV81"
"030c06ddbc5bd14c2d43958d8d28bb68"	"ASV82"
"bd21e534a56d407a5aed0a18fc2d7083"	"ASV83"
"d1f34af511d03b36a90eaf2d55ce6fff"	"ASV84"
"aaccf1caf95bd53edafd3c3ffaedef16"	"ASV85"
"9f536b9848314e0ea9ae5a96d6d67db4"	"ASV86"
"78cef7ff5c10a9ac562daa30b0c2bdc7"	"ASV87"
"6849dac7a7fb3dc22a1d7c9de04061e2"	"ASV88"
"f7449cbf520bcb1dece0bbd96004d60f"	"ASV89"
"7bb7a4fa3da50ca28e8cae8849eb4243"	"ASV90"
"eeba59464fed2044dcd6558840f1dd0d"	"ASV91"
"37d36ff76bf8781facf8c7c3e8fd0ab6"	"ASV92"
"97e07661fdc26269f91ef09f0948e66c"	"ASV93"
"cf22b14880ae6003a91f780da5466578"	"ASV94"
"6823bfee94344021c74eddf03070a139"	"ASV95"
"3e65358ea977e84064280d3f6606c9a5"	"ASV96"
"02de5a1b55b95cb3b13ea5462f91e14e"	"ASV97"
"3f45a4b2d25a83d0592f5085d0897c5c"	"ASV98"
"5e5df5fa6a69fa0fddc3ac2869416627"	"ASV99"
"7d64eb196b51e0128ce9ebb42a594f34"	"ASV100"
"a621eedef6b2a55fe7f8995ec4e3d7a9"	"ASV101"
"0ff8d9dd5a4a9b5feb518053efb739f1"	"ASV102"
"d23fd703c53fe2d5bae9f909c904b3a2"	"ASV103"
"b7f139adb67af4c1c434234cff250ade"	"ASV104"
"6738a69ab9e6d924687185319bb4607e"	"ASV105"
"aa138e4090c6359ed5e3b5f8514d1786"	"ASV106"
"cf84a08094061dc0a1004f09de6b6c93"	"ASV107"
"e98047ac8363fa71a3a3ec6e42afa66e"	"ASV108"
"75650ae667747bd4cde2f3e7ba3c1892"	"ASV109"
"ca068df6ce6479132f9b19791d0b0044"	"ASV110"
"0c7829ae46e15338b89ef8944a3eef74"	"ASV111"
"20c24fa57b7455b807da62f9bfe51e10"	"ASV112"
"1d2021fe7f0c52c3e74905ee78a0b39a"	"ASV113"
"740c024c75cbfb8b48bc1e7127590032"	"ASV114"
"231b81b99586e59094b8e79966777b7d"	"ASV115"
"c41e67231b1c1904024d94c0c421edad"	"ASV116"
"dcef036ff0cab6a7404103f4990b708f"	"ASV117"
"2b1ac29c4c4f8b58d771a5a4adc0e23e"	"ASV118"
"81b33cecd709af82b40363b750afc8b9"	"ASV119"
"ca3ee4a6718e2bd25af3f9e7c26bbcfb"	"ASV120"
"20ae971ec836bd0dd7b8765c19bb009a"	"ASV121"
"efc6f5c0e943440b0ec8c5bba3c53308"	"ASV122"
"4d497811636db13cbebc39b667ba28ac"	"ASV123"
"02d0edea78870eb0c99ed77035efc56e"	"ASV124"
"b8c55ff4ab9e0a235643b61a9a73d3a6"	"ASV125"
"4bca2382388a4de3057348a0b6ac7d8a"	"ASV126"
"8f31233ae57e5c24bd06e4ff349761dd"	"ASV127"
"27269d4e229752ba6accfdbb3ad6eeab"	"ASV128"
"fdb9f129c73a0bc6ef21c153c1844b4b"	"ASV129"
"8cc3b5dc96280a9b0b8cee50feb51483"	"ASV130"
"199632ccc7ab5e6c6591b052f5006c84"	"ASV131"
"0726d0ba524e2af69b845405826ba4db"	"ASV132"
