CK_WT_ST1_Ro_1	CK_WT_ST1_Ro_2	CK_WT_ST1_Ro_3	CK_mt_ST1_Ro_1	CK_mt_ST1_Ro_2	CK_mt_ST1_Ro_3	CK_WT_ST2_Ro_1	CK_WT_ST2_Ro_2	CK_WT_ST2_Ro_3	CK_mt_ST2_Ro_1	CK_mt_ST2_Ro_2	CK_mt_ST2_Ro_3
ASV27	0	64	87	85	139	154	176	72	111	102	98	271
ASV28	77	79	71	92	152	130	161	0	111	73	82	226
ASV32	0	0	0	0	143	141	165	60	140	93	78	226
ASV35	0	0	0	0	69	52	0	61	172	40	30	55
ASV38	55	74	0	0	0	15	0	55	124	50	42	55
ASV40	0	0	0	0	67	53	0	41	86	22	30	35
ASV41	51	51	0	0	0	9	0	39	92	33	28	38
ASV42	61	95	0	0	0	12	0	53	128	42	35	50
ASV57	0	0	0	130	0	140	87	43	88	103	59	112
ASV65	0	30	0	68	53	0	15	0	36	0	26	71
ASV66	0	0	68	0	0	0	107	43	25	42	53	130
ASV67	38	32	33	42	50	47	18	0	61	20	43	69
ASV74	25	0	44	0	66	37	53	30	58	24	0	56
ASV83	44	56	84	50	27	31	22	0	28	23	23	17
ASV84	39	12	30	57	27	53	27	15	46	43	20	50
ASV86	0	96	0	23	0	0	107	54	25	38	66	85
ASV94	0	0	75	0	0	0	75	45	28	46	71	88
ASV96	52	63	57	37	11	52	41	0	26	26	27	28
ASV97	48	55	70	45	27	42	17	0	20	20	18	12
ASV101	0	0	0	0	77	0	91	82	56	0	76	101
ASV102	62	59	79	52	16	43	30	0	0	0	16	23
ASV105	44	33	58	42	16	38	35	65	40	26	0	14
ASV111	0	47	0	29	0	0	100	35	29	53	64	105
ASV113	26	21	25	38	45	45	55	0	57	0	29	63
ASV116	0	0	55	0	0	0	59	38	21	44	54	0
ASV120	0	113	0	0	0	0	78	26	39	0	51	82
ASV128	67	83	0	96	0	0	87	36	31	49	71	101
ASV133	77	0	72	0	134	0	81	0	0	0	76	114
ASV134	50	43	73	44	25	33	35	0	0	0	15	23
ASV137	50	39	0	0	0	0	18	0	39	48	14	41
ASV139	0	0	0	0	66	0	65	59	51	0	66	95
ASV143	0	19	0	25	0	0	92	34	0	49	50	0
ASV146	27	0	0	0	0	0	52	21	0	16	45	50
ASV148	11	0	12	63	81	32	28	64	37	0	0	98
ASV153	70	0	0	0	0	0	103	91	99	0	59	46
ASV156	56	58	0	108	0	0	15	0	32	26	16	15
ASV157	56	44	86	48	9	32	15	0	39	15	9	4
ASV158	112	0	0	0	0	24	81	54	0	47	0	88
ASV165	24	0	32	57	58	39	27	51	28	0	0	69
ASV166	54	55	81	0	30	58	38	16	41	47	28	18
ASV167	0	0	52	0	50	104	50	47	32	20	40	152
ASV169	0	18	0	22	0	0	106	31	0	42	45	0
ASV173	0	0	32	0	40	23	50	48	0	0	0	79
ASV174	72	0	0	0	0	11	97	64	0	48	0	81
ASV176	0	0	57	0	0	46	0	0	82	24	63	105
ASV177	0	19	0	38	0	0	85	45	0	48	31	0
ASV192	23	0	0	0	0	0	51	36	0	19	36	26
ASV205	42	0	0	0	0	0	66	79	55	0	59	30
ASV210	0	22	49	0	0	0	85	0	29	0	40	91
ASV212	0	48	59	0	0	0	83	0	44	0	27	149
ASV213	0	47	0	0	0	0	0	13	39	38	41	19
ASV225	36	61	56	0	18	32	20	24	15	23	25	13
ASV236	0	0	70	17	37	32	32	37	0	0	0	0
ASV239	0	0	11	0	16	30	35	28	0	0	0	60
ASV247	0	0	160	190	0	0	12	0	94	0	23	84
ASV249	0	0	0	0	0	0	60	21	50	27	47	62
ASV291	0	60	0	0	0	0	0	13	23	26	39	27
ASV356	0	0	56	0	65	91	0	0	91	74	0	17
ASV371	0	47	0	0	0	0	0	12	20	26	39	14
ASV411	42	0	44	33	67	17	0	0	0	0	34	0
ASV689	0	0	27	0	10	7	11	15	0	0	0	29
ASV847	0	0	30	0	0	0	1	5	13	7	9	27
ASV914	0	0	20	6	5	4	11	17	0	0	0	0
ASV1112	6	6	7	2	8	16	5	0	5	11	4	6
ASV1158	0	14	0	13	0	0	7	7	10	4	20	31
ASV1228	0	4	9	7	7	9	6	5	7	12	5	6
ASV1233	0	2	4	8	4	8	4	0	8	8	5	6
ASV1267	0	10	0	0	0	0	14	4	7	10	10	16
ASV1313	0	4	0	6	0	0	14	8	0	12	10	0
ASV1326	31	13	0	34	0	0	15	0	13	1	8	26
ASV1550	0	0	6	3	2	8	7	9	0	4	4	10
ASV1576	0	0	0	11	0	0	16	7	6	6	8	21
ASV1837	4	7	4	4	2	6	7	0	5	11	3	5
ASV2082	0	0	0	0	8	8	5	7	1	4	11	8
ASV2164	2	2	9	7	7	7	5	0	3	2	9	7
ASV4028	5	0	8	1	2	3	6	0	0	11	7	5
ASV5258	4	12	11	0	8	4	0	0	0	1	5	0
