#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU354	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio_giganteus
OTU2164	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis
OTU2370	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis
OTU2434	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis
OTU2222	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis
OTU2422	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Nitrospira_moscoviensis
OTU281	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter_subterraneus
OTU476	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XVII._Incertae_Sedis	Thermaerobacter	Thermaerobacter_marianensis
OTU258	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	NA
OTU212	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XVII._Incertae_Sedis	Thermaerobacter	Thermaerobacter_composti
OTU239	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter_subterraneus
OTU271	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter_subterraneus
OTU240	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter_subterraneus
OTU5507	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
OTU262	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter_mathranii
OTU226	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU234	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter_subterraneus
OTU356	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	NA
OTU203	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Family_XVII._Incertae_Sedis	Thermaerobacter	Thermaerobacter_litoralis
OTU196	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	NA
OTU202	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Calditerricola	Calditerricola_yamamurae
OTU213	Bacteria	Proteobacteria	Deltaproteobacteria	Not_Available	Not_Available	Dissulfuribacter	Dissulfuribacter_thermophilus
OTU217	Bacteria	Fibrobacteres	Chitinispirillia	Chitinispirillales	Chitinispirillaceae	Chitinispirillum	Chitinispirillum_alkaliphilum
OTU66	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophaceae	Desulfomonile	Desulfomonile_limimaris
OTU803	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus	Desulfarculus_baarsii
OTU1101	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA	NA
OTU376	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	NA
OTU372	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	NA
OTU555	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter_pickeringii
OTU569	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	NA
OTU576	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter_pickeringii
OTU4354	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	Aciditerrimonas_ferrireducens
OTU4796	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	Aciditerrimonas_ferrireducens
OTU4782	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Aciditerrimonas	Aciditerrimonas_ferrireducens
OTU4760	Bacteria	Proteobacteria	Deltaproteobacteria	Not_Available	Not_Available	Dissulfuribacter	Dissulfuribacter_thermophilus
